日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-01-04,2.31,2.34,2.35,2.3,54690,12768928.0,2.16,0.86,0.02,0.31
2021-01-05,2.34,2.29,2.35,2.28,56924,13166233.0,2.99,-2.14,-0.05,0.33
2021-01-06,2.25,2.19,2.27,2.18,116628,25637373.0,3.93,-4.37,-0.1,0.67
2021-01-07,2.17,2.18,2.24,2.17,59898,13166168.0,3.2,-0.46,-0.01,0.34
2021-01-08,2.17,2.13,2.2,2.1,84927,18113829.0,4.59,-2.29,-0.05,0.49
2021-01-11,2.13,2.09,2.16,2.07,54925,11562134.0,4.23,-1.88,-0.04,0.32
2021-01-12,2.07,2.03,2.11,2.01,88360,18121707.0,4.78,-2.87,-0.06,0.51
2021-01-13,2.02,1.93,2.03,1.93,109907,21445048.0,4.93,-4.93,-0.1,0.63
2021-01-14,1.83,1.83,1.89,1.83,120956,22181624.0,3.11,-5.18,-0.1,0.69
2021-01-15,1.83,1.92,1.92,1.8,48992,9347252.0,6.56,4.92,0.09,0.28
2021-01-18,2.02,2.02,2.02,1.97,42807,8638754.0,2.6,5.21,0.1,0.25
2021-01-19,2.12,2.12,2.12,2.12,8014,1698898.0,0.0,4.95,0.1,0.05
2021-01-20,2.23,2.23,2.23,2.23,4564,1017747.0,0.0,5.19,0.11,0.03
2021-01-21,2.34,2.34,2.34,2.34,2646,619131.0,0.0,4.93,0.11,0.02
2021-01-22,2.46,2.38,2.46,2.36,401620,97693642.0,4.27,1.71,0.04,2.31
2021-01-25,2.32,2.41,2.45,2.32,107668,25808971.0,5.46,1.26,0.03,0.62
2021-01-26,2.42,2.53,2.53,2.41,63589,15927501.0,4.98,4.98,0.12,0.37
2021-01-27,2.66,2.61,2.66,2.53,202550,53217314.0,5.14,3.16,0.08,1.16
2021-01-28,2.56,2.51,2.63,2.5,108384,27799282.0,4.98,-3.83,-0.1,0.62
2021-01-29,2.51,2.55,2.57,2.44,78774,19570062.0,5.18,1.59,0.04,0.45
2021-02-01,2.43,2.51,2.54,2.43,44025,11009916.0,4.31,-1.57,-0.04,0.25
2021-02-02,2.51,2.61,2.64,2.5,56538,14653907.0,5.58,3.98,0.1,0.32
2021-02-03,2.59,2.55,2.64,2.54,54709,14082028.0,3.83,-2.3,-0.06,0.31
2021-02-04,2.55,2.49,2.57,2.45,60631,15034242.0,4.71,-2.35,-0.06,0.35
2021-02-05,2.49,2.44,2.55,2.42,54341,13393550.0,5.22,-2.01,-0.05,0.31
