日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA5,MA10,MA30,MA60
2021-01-04,33.11,33.56,33.78,32.56,2357,11147725.0,3.71,2.1,0.69,1.71,,,,
2021-01-05,33.51,33.41,34.02,33.11,2090,9915705.0,2.71,-0.45,-0.15,1.52,,,,
2021-01-06,33.33,32.39,33.65,32.17,2373,11006995.0,4.43,-3.05,-1.02,1.73,,,,
2021-01-07,32.24,30.6,32.37,29.9,3800,16774126.0,7.63,-5.53,-1.79,2.76,,,,
2021-01-08,30.32,30.58,31.21,29.65,3477,15102335.0,5.1,-0.07,-0.02,2.53,32.108,,,
2021-01-11,30.79,29.45,30.81,29.42,3171,13467584.0,4.55,-3.7,-1.13,2.31,31.286,,,
2021-01-12,29.75,29.55,30.04,29.26,1860,7833021.0,2.65,0.34,0.1,1.35,30.514,,,
2021-01-13,29.68,27.89,29.68,27.81,6039,24146811.0,6.33,-5.62,-1.66,4.39,29.613999999999997,,,
2021-01-14,27.88,29.12,29.41,27.55,4003,16377374.0,6.67,4.41,1.23,2.91,29.318,,,
2021-01-15,28.87,30.89,31.25,28.87,6775,29467824.0,8.17,6.08,1.77,4.93,29.380000000000003,30.744,,
2021-01-18,30.65,30.75,30.95,30.4,3282,14308103.0,1.78,-0.45,-0.14,2.39,29.640000000000004,30.463,,
2021-01-19,30.44,31.78,32.02,30.44,4141,18562569.0,5.14,3.35,1.03,3.01,30.086000000000002,30.300000000000004,,
2021-01-20,31.67,31.03,31.91,30.68,3205,14143067.0,3.87,-2.36,-0.75,2.33,30.714000000000006,30.163999999999998,,
2021-01-21,30.68,30.92,30.97,30.34,2462,10757651.0,2.03,-0.35,-0.11,1.79,31.074,30.196000000000005,,
2021-01-22,31.31,29.75,31.31,29.63,2219,9497087.0,5.43,-3.78,-1.17,1.61,30.846000000000004,30.113,,
2021-01-25,29.56,28.72,30.17,28.53,2925,12034191.0,5.51,-3.46,-1.03,2.13,30.440000000000005,30.04,,
2021-01-26,28.31,29.05,29.68,28.29,2046,8487527.0,4.84,1.15,0.33,1.49,29.894,29.99,,
2021-01-27,29.41,28.6,29.89,28.17,1826,7434339.0,5.92,-1.55,-0.45,1.33,29.408000000000005,30.061,,
2021-01-28,28.63,28.56,29.26,28.14,2241,9185186.0,3.92,-0.14,-0.04,1.63,28.936,30.005000000000003,,
2021-01-29,28.56,28.19,29.25,27.93,2202,8825986.0,4.62,-1.3,-0.37,1.6,28.624000000000002,29.735000000000003,,
2021-02-01,28.13,28.92,28.98,28.12,2300,9354200.0,3.05,2.59,0.73,1.67,28.663999999999998,29.552,,
2021-02-02,28.96,28.45,29.23,28.24,2145,8693264.0,3.42,-1.63,-0.47,1.56,28.544,29.219,,
