code,name,总市值,流通市值,行业,总股本,流通股
000001,平安银行,195611655435.84,195607913256.0,银行,19405918198.0,19405546950.0
000002,万  科Ａ,85781801096.49,69864768869.35,房地产开发,11930709471.0,9716935865.0
000004,国华网安,1273498312.84,1214891454.6599998,软件开发,132380282.0,126288093.0
000006,深振业Ａ,5170481026.18,5170451726.68,房地产开发,1349995046.0,1349987396.0
000007,*ST全新,1635234767.6799998,1458234767.6799998,房地产服务,346448044.0,308948044.0
000008,神州高铁,5269772705.0199995,5191341564.4,交运设备,2716377683.0,2675949260.0
000009,中国宝安,22800251450.6,22554644064.16,综合行业,2579213965.0,2551430324.0
000010,美丽生态,1862436713.0400002,845917826.7600001,工程建设,1149652292.0,522171498.0
000011,深物业A,4594998799.32,4059126436.53,房地产开发,595979092.0,526475543.0
000012,南  玻Ａ,15721943587.84,10031511782.4,玻璃玻纤,3070692107.0,1959279645.0
000014,沙河股份,2388996230.8799996,2388996230.8799996,房地产开发,242046224.0,242046224.0
000016,深康佳Ａ,5345638805.76,3544438236.0000005,家电行业,2407945408.0,1596593800.0
000017,深中华A,4210919940.63,1851238136.15,珠宝首饰,689184933.0,302984965.0
000019,深粮控股,6719280530.82,2426541652.81,贸易行业,1152535254.0,416216407.0
000020,深华发Ａ,2857096780.43,1827958795.19,光学光电子,283161227.0,181165391.0
000021,深科技,22971849295.36,22963176477.440002,消费电子,1560587588.0,1559998402.0
000023,*ST深天,301101040.8,301101040.8,水泥建材,138756240.0,138756240.0
000025,特  力Ａ,5883946068.0,5361424068.0,珠宝首饰,431058320.0,392778320.0
000026,飞亚达,3644660578.86,3257112029.94,珠宝首饰,405864207.0,362707353.0
000027,深圳能源,33682320605.28,33682320605.28,电力行业,4757389916.0,4757389916.0
000028,国药一致,18427869699.47,15828358437.43,医药商业,556565077.0,478053713.0
000029,深深房Ａ,10925928000.0,9629928000.0,房地产开发,1011660000.0,891660000.0
000030,富奥股份,9039127611.150002,8782567102.59,汽车零部件,1741643085.0,1692209461.0
000031,大悦城,10501467680.550001,9807066510.5,房地产开发,4286313339.0,4002884290.0
000032,深桑达Ａ,17137666064.04,9710142993.66,通信设备,1137959234.0,644763811.0
000034,神州数码,15306632632.8,12576527046.539999,计算机设备,669581480.0,550154289.0
000035,中国天楹,11786039976.99,11457122905.92,环保行业,2523777297.0,2453345376.0
000036,华联控股,4540838116.5,4530817901.7,房地产开发,1483934025.0,1480659445.0
000037,深南电A,5250062211.160001,2951776808.76,电力行业,602762596.0,338895156.0
000039,中集集团,50312215192.05,21472128625.53,通用设备,5392520385.0,2301407141.0
000040,东旭蓝天,3583366026.7000003,2555421014.7000003,电力行业,1486873870.0,1060340670.0
000042,中洲控股,2646027933.22,2642677720.46,房地产开发,664831139.0,663989377.0
000045,深纺织Ａ,4067370447.47,3669885447.47,光学光电子,506521849.0,457021849.0
000048,京基智农,7332467035.0,7231166435.0,农牧饲渔,530569250.0,523239250.0
000049,德赛电池,8154336920.8,8151339855.599999,电池,384638534.0,384497163.0
000050,深天马Ａ,17695783159.2,17105717980.800001,光学光电子,2457747661.0,2375794164.0
000055,方大集团,3769298536.77,2372249045.79,装修装饰,1073874227.0,675854429.0
000056,皇庭国际,2117655260.0,1581525370.25,房地产服务,1210088720.0,903728783.0
000058,深 赛 格,6857787743.04,5484732234.280001,商业百货,1231200672.0,984691604.0
