日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA4,MA8,MA16,MA24
2021-01-08,2.63,2.62,2.68,2.27,2286788,573620574.0,15.53,-0.76,-0.02,8.89,,,,
2021-01-15,2.7,2.54,2.75,2.44,2582557,672117092.0,11.83,-3.05,-0.08,10.04,,,,
2021-01-22,2.52,2.56,2.7,2.5,1968742,513756221.0,7.87,0.79,0.02,7.65,,,,
2021-01-29,2.57,2.54,2.78,2.47,2037954,531132915.0,12.11,-0.78,-0.02,7.92,2.565,,,
2021-02-05,2.29,1.86,2.35,1.84,2633901,525888493.0,20.08,-26.77,-0.68,10.24,2.375,,,
2021-02-10,1.86,1.92,2.03,1.75,1891639,358296262.0,15.05,3.23,0.06,7.35,2.22,,,
2021-02-19,1.92,2.15,2.21,1.91,1315970,271223517.0,15.63,11.98,0.23,5.11,2.1174999999999997,,,
2021-02-26,2.16,2.22,2.39,2.15,2925202,667608526.0,11.16,3.26,0.07,11.37,2.0375,2.30125,,
2021-03-05,2.25,2.25,2.3,2.21,1382427,310929860.0,4.05,1.35,0.03,5.37,2.1350000000000002,2.255,,
2021-03-12,2.25,2.14,2.28,2.06,1237202,265705236.0,9.78,-4.89,-0.11,4.81,2.1900000000000004,2.205,,
2021-03-19,2.13,2.23,2.29,2.11,1364458,300871717.0,8.41,4.21,0.09,5.3,2.21,2.16375,,
2021-03-26,2.22,2.17,2.27,2.13,1160613,255623284.0,6.28,-2.69,-0.06,4.51,2.1975,2.1175,,
2021-04-02,2.15,2.15,2.18,2.06,1032766,219321327.0,5.53,-0.92,-0.02,4.01,2.1725,2.15375,,
2021-04-09,2.15,2.1,2.25,2.02,1738765,369694489.0,10.7,-2.33,-0.05,6.76,2.1625,2.17625,,
2021-04-16,2.09,2.09,2.13,1.96,1647148,337554609.0,8.1,-0.48,-0.01,6.4,2.1275,2.16875,,
2021-04-23,2.07,1.95,2.1,1.93,1026097,208181740.0,8.13,-6.7,-0.14,3.99,2.0725,2.1350000000000002,2.218125,
2021-04-30,1.94,2.15,2.15,1.86,937819,184796057.0,14.87,10.26,0.2,3.64,2.0725,2.1225,2.18875,
2021-05-07,2.35,2.44,2.61,2.25,3275614,811705361.0,16.74,13.49,0.29,12.73,2.1575,2.16,2.1825,
2021-05-14,2.37,2.45,2.68,2.3,5794359,1451156794.0,15.57,0.41,0.01,22.52,2.2475,2.1875,2.175625,
2021-05-21,2.44,2.48,2.65,2.3,3872425,953605945.0,14.29,1.22,0.03,15.05,2.38,2.22625,2.171875,
2021-05-28,2.48,2.65,2.78,2.4,3553126,905602854.0,15.32,6.85,0.17,13.81,2.505,2.2887500000000003,2.2212500000000004,
2021-06-04,2.72,3.97,4.27,2.65,11408720,4026922048.0,61.13,49.81,1.32,44.34,2.8875,2.5225,2.349375,
2021-06-11,3.86,3.43,4.11,3.39,8186944,2998178144.0,18.14,-13.6,-0.54,31.82,3.1325,2.69,2.4293750000000003,
2021-06-18,3.38,3.34,3.53,3.19,3559650,1189488982.0,9.91,-2.62,-0.09,13.83,3.3475,2.86375,2.4993749999999997,2.433333333333333
2021-06-25,3.31,2.93,3.63,2.87,6894933,2201275008.0,22.75,-12.28,-0.41,26.8,3.4175000000000004,2.9612499999999997,2.5418749999999997,2.44625
2021-07-02,2.97,2.79,2.97,2.73,3521623,1001220674.0,8.19,-4.78,-0.14,13.69,3.1225,3.005,2.5825000000000005,2.456666666666667
2021-07-09,2.75,2.83,3.12,2.75,3891758,1124642543.0,13.26,1.43,0.04,15.12,2.9725,3.0525,2.62,2.467916666666667
2021-07-16,2.87,2.9,2.97,2.72,2726726,771238613.0,8.83,2.47,0.07,10.6,2.8625000000000003,3.105,2.665625,2.4829166666666667
2021-07-23,2.88,3.14,3.4,2.76,5968797,1856989860.0,22.07,8.28,0.24,23.2,2.915,3.16625,2.7275,2.5362500000000003
2021-07-30,3.12,3.1,3.2,2.65,3909433,1158829517.0,17.52,-1.27,-0.04,15.19,2.9925,3.0575,2.79,2.5854166666666667
2021-08-06,3.1,3.22,3.33,3.03,4489789,1413529447.0,9.68,3.87,0.12,17.45,3.09,3.03125,2.860625,2.6300000000000003
2021-08-13,3.17,3.1,3.23,3.06,2574701,803018060.0,5.28,-3.73,-0.12,10.01,3.14,3.00125,2.9325,2.6666666666666665
2021-08-20,3.09,2.94,3.1,2.86,2107826,623523760.0,7.74,-5.16,-0.16,8.19,3.0900000000000003,3.0025000000000004,2.981875,2.6954166666666666
2021-08-27,2.94,2.89,3.02,2.88,1520991,449017706.0,4.76,-1.7,-0.05,5.91,3.0375,3.015,3.0100000000000002,2.7266666666666666
2021-09-03,2.89,3.18,3.47,2.89,6192746,2004959470.0,20.07,10.03,0.29,24.07,3.0275,3.05875,3.055625,2.76625
2021-09-10,3.26,3.32,3.54,3.21,4144305,1397973492.0,10.38,4.4,0.14,16.11,3.0825,3.11125,3.1081250000000002,2.8141666666666665
2021-09-17,3.35,3.45,3.74,3.26,5746405,2030722592.0,14.46,3.92,0.13,22.33,3.21,3.1500000000000004,3.158125,2.8683333333333336
2021-09-24,3.43,3.34,3.63,3.31,1852250,642262735.0,9.28,-3.19,-0.11,7.2,3.3225,3.18,3.11875,2.92
2021-09-30,3.29,3.18,3.44,2.96,3506448,1116575600.0,14.37,-4.79,-0.16,13.63,3.3225,3.1750000000000003,3.103125,2.9654166666666666
2021-10-08,3.18,3.22,3.3,3.18,418415,135669219.0,3.77,1.26,0.04,1.63,3.2975,3.19,3.095625,3.018333333333334
2021-10-15,3.23,3.02,3.25,3.02,1612938,500798423.0,7.14,-6.21,-0.2,6.27,3.1900000000000004,3.1999999999999997,3.1012500000000003,3.0545833333333334
2021-10-22,3.04,2.99,3.17,2.98,1503237,461514910.0,6.29,-0.99,-0.03,5.84,3.1025,3.2125000000000004,3.11375,3.0775
2021-10-29,3.02,2.91,3.2,2.81,1599422,479086813.0,13.04,-2.68,-0.08,6.22,3.035,3.1787500000000004,3.11875,3.096666666666667
2021-11-05,2.84,2.61,2.84,2.5,2110458,555082056.0,11.68,-10.31,-0.3,8.2,2.8825000000000003,3.0900000000000003,3.100625,3.1020833333333333
2021-11-12,2.61,2.68,2.69,2.56,1027074,270523155.0,4.98,2.68,0.07,3.99,2.7975000000000003,2.99375,3.071875,3.1033333333333335
2021-11-19,2.68,2.64,2.73,2.6,911872,241908857.0,4.85,-1.49,-0.04,3.54,2.71,2.90625,3.043125,3.047916666666667
2021-11-26,2.63,2.64,2.72,2.6,1008526,267518505.0,4.55,0.0,0.0,3.92,2.6425,2.83875,3.006875,3.015
2021-12-03,2.63,2.78,2.92,2.58,1441450,395328690.0,12.88,5.3,0.14,5.6,2.685,2.78375,2.986875,2.9916666666666667
2021-12-10,2.77,2.85,2.85,2.68,1113855,306948998.0,6.12,2.52,0.07,4.33,2.7275,2.7625,2.98125,2.9883333333333333
2021-12-17,2.83,2.9,3.02,2.78,1335684,385328529.0,8.42,1.75,0.05,5.19,2.7925,2.7512499999999998,2.981875,2.9929166666666664
2021-12-24,2.88,3.01,3.13,2.77,2535546,762636899.0,12.41,3.79,0.11,9.85,2.885,2.76375,2.97125,3.0004166666666667
2021-12-31,3.0,2.98,3.05,2.89,1087413,322265156.0,5.32,-1.0,-0.03,4.23,2.935,2.81,2.95,3.00375
2022-01-07,2.81,2.86,3.06,2.8,1720985,506691275.0,8.72,-4.03,-0.12,6.69,2.9375,2.8325,2.913125,2.9920833333333334
2022-01-14,2.86,2.81,2.97,2.81,929527,266484530.0,5.59,-1.75,-0.05,3.61,2.915,2.85375,2.88,2.98
2022-01-21,2.83,2.69,2.86,2.65,1153899,317970906.0,7.47,-4.27,-0.12,4.48,2.835,2.86,2.849375,2.9579166666666663
2022-01-28,2.68,2.76,2.76,2.51,949293,252222462.0,9.29,2.6,0.07,3.69,2.78,2.8575,2.820625,2.94375
2022-02-11,3.02,3.0,3.13,2.84,4236994,1282197712.0,10.51,8.7,0.24,16.47,2.815,2.8762499999999998,2.819375,2.9462500000000005
2022-02-18,3.0,3.05,3.09,2.92,1991122,594842734.0,5.67,1.67,0.05,7.74,2.875,2.895,2.8231249999999997,2.952916666666667
2022-02-25,3.01,2.97,3.35,2.91,2954071,909208039.0,14.43,-2.62,-0.08,11.48,2.9450000000000003,2.8899999999999997,2.8268750000000002,2.9441666666666664
2022-03-04,2.97,3.08,3.22,2.91,2179243,669900080.0,10.44,3.7,0.11,8.47,3.0250000000000004,2.9025,2.85625,2.9341666666666666
2022-03-11,3.09,3.32,3.38,2.95,3602580,1136286982.0,13.96,7.79,0.24,14.0,3.105,2.96,2.89625,2.9287500000000004
2022-03-18,3.24,3.15,3.34,2.91,3296300,1025443078.0,12.95,-5.12,-0.17,12.81,3.13,3.0025,2.928125,2.920833333333333
2022-03-25,3.14,3.03,3.24,3.01,1731870,539026851.0,7.3,-3.81,-0.12,6.73,3.145,3.045,2.9525,2.914583333333333
2022-04-01,3.02,3.08,3.16,2.98,1264366,387621641.0,5.94,1.65,0.05,4.91,3.145,3.085,2.97125,2.9087499999999995
2022-04-08,3.09,3.1,3.15,2.98,1011895,311804638.0,5.52,0.65,0.02,3.93,3.09,3.0975,2.986875,2.9120833333333334
2022-04-15,3.1,2.83,3.14,2.8,1602280,474528326.0,10.97,-8.71,-0.27,6.23,3.01,3.0700000000000003,2.9825,2.905416666666667
2022-04-22,2.79,2.71,2.87,2.62,888457,245702947.0,8.83,-4.24,-0.12,3.45,2.93,3.0375,2.96375,2.897083333333333
2022-04-29,2.75,2.75,2.97,2.4,1778039,481943354.0,21.03,1.48,0.04,6.91,2.8475,2.99625,2.949375,2.902916666666666
2022-05-06,2.8,2.7,2.8,2.66,381177,104029279.0,5.09,-1.82,-0.05,1.48,2.7474999999999996,2.91875,2.939375,2.90375
2022-05-13,2.67,2.66,2.74,2.58,913649,245309989.0,5.93,-1.48,-0.04,3.55,2.705,2.8575,2.93,2.9045833333333335
2022-05-20,2.66,2.67,2.73,2.6,808267,215427828.0,4.89,0.38,0.01,3.14,2.6950000000000003,2.8125,2.92875,2.9058333333333333
2022-05-27,2.67,2.65,2.72,2.59,751820,200160360.0,4.87,-0.75,-0.02,2.92,2.67,2.75875,2.921875,2.9004166666666666
2022-06-02,2.65,2.73,2.76,2.65,850183,231310592.0,4.15,3.02,0.08,3.3,2.6775,2.7125,2.905,2.895416666666667
2022-06-10,2.73,2.67,2.78,2.63,921274,248747947.0,5.49,-2.2,-0.06,3.58,2.6799999999999997,2.6925,2.88125,2.8858333333333337
2022-06-17,2.65,2.68,2.71,2.56,961337,255434459.0,5.62,0.37,0.01,3.74,2.6825,2.68875,2.8631249999999997,2.872083333333333
2022-06-24,2.68,2.69,2.71,2.63,727526,194383748.0,2.99,0.37,0.01,2.83,2.6925,2.6812500000000004,2.83875,2.86
2022-07-01,2.7,2.78,2.96,2.68,1350191,372590802.0,10.41,3.35,0.09,5.25,2.7049999999999996,2.6912499999999997,2.8049999999999997,2.856666666666667
2022-07-08,2.79,2.69,2.84,2.68,1078675,297203064.0,5.76,-3.24,-0.09,4.19,2.71,2.695,2.77625,2.8516666666666666
2022-07-15,2.69,2.57,2.74,2.56,845486,224586390.0,6.69,-4.46,-0.12,3.29,2.6824999999999997,2.6825,2.7475,2.846666666666667
2022-07-22,2.56,2.63,2.66,2.56,638616,167972943.0,3.89,2.33,0.06,2.48,2.6675,2.68,2.719375,2.84125
2022-07-29,2.63,2.6,2.66,2.59,590365,154870923.0,2.66,-1.14,-0.03,2.29,2.6225,2.6637500000000003,2.688125,2.824583333333333
2022-08-05,2.6,2.55,2.6,2.46,841067,211710461.0,5.38,-1.92,-0.05,3.27,2.5875,2.6487499999999997,2.670625,2.8037500000000004
2022-08-12,2.55,2.61,2.63,2.51,648355,166938832.0,4.71,2.35,0.06,2.52,2.5974999999999997,2.6399999999999997,2.6643749999999997,2.7887500000000003
2022-08-19,2.61,2.58,2.64,2.58,611835,159580395.0,2.3,-1.15,-0.03,2.38,2.585,2.62625,2.65375,2.7679166666666664
2022-08-26,2.57,2.58,2.68,2.52,874378,227155379.0,6.2,0.0,0.0,3.4,2.58,2.60125,2.64625,2.737083333333333
2022-09-02,2.55,2.6,2.67,2.52,818170,213554403.0,5.81,0.78,0.02,3.18,2.5925000000000002,2.59,2.6425,2.714166666666667
2022-09-09,2.6,2.61,2.66,2.59,652961,171232112.0,2.69,0.38,0.01,2.54,2.5925000000000002,2.5949999999999998,2.63875,2.6966666666666668
2022-09-16,2.6,2.47,2.62,2.46,663107,169770498.0,6.13,-5.36,-0.14,2.58,2.5650000000000004,2.575,2.6275,2.67125
2022-09-23,2.46,2.47,2.54,2.4,713217,175815233.0,5.67,0.0,0.0,2.77,2.5375,2.55875,2.61125,2.645
2022-09-30,2.45,2.28,2.45,2.26,741551,174130542.0,7.69,-7.69,-0.19,2.88,2.4575,2.5250000000000004,2.586875,2.6220833333333333
2022-10-14,2.28,2.39,2.44,2.23,680433,158619898.0,9.21,4.82,0.11,2.64,2.4025000000000003,2.4975,2.56875,2.60875
2022-10-21,2.38,2.38,2.44,2.35,555307,133020766.0,3.77,-0.42,-0.01,2.16,2.38,2.4725,2.549375,2.5933333333333333
2022-10-28,2.38,2.31,2.42,2.29,621887,147075529.0,5.46,-2.94,-0.07,2.42,2.34,2.43875,2.52,2.5770833333333334
2022-11-04,2.32,2.41,2.42,2.31,667329,158705510.0,4.76,4.33,0.1,2.59,2.3725,2.415,2.5025,2.566666666666667
2022-11-11,2.41,2.47,2.52,2.4,636579,155805924.0,4.98,2.49,0.06,2.47,2.3925,2.3975,2.49625,2.558333333333333
2022-11-18,2.47,2.48,2.52,2.46,656794,163694773.0,2.43,0.4,0.01,2.55,2.4175000000000004,2.39875,2.486875,2.55125
2022-11-25,2.47,2.48,2.49,2.42,694393,170291951.0,2.82,0.0,0.0,2.7,2.46,2.4,2.479375,2.5408333333333335
2022-12-02,2.48,2.48,2.52,2.42,727044,180171993.0,4.03,0.0,0.0,2.83,2.4775,2.4250000000000003,2.475,2.5329166666666665
2022-12-09,2.49,2.52,2.58,2.49,1203802,305605245.0,3.63,1.61,0.04,4.68,2.4899999999999998,2.44125,2.4693750000000003,2.52625
2022-12-16,2.51,2.42,2.51,2.4,694237,169885754.0,4.37,-3.97,-0.1,2.7,2.475,2.44625,2.459375,2.515
2022-12-23,2.42,2.31,2.43,2.28,562677,131369334.0,6.2,-4.55,-0.11,2.19,2.4325,2.44625,2.4425,2.495416666666667
2022-12-30,2.29,2.33,2.35,2.26,556691,128857899.0,3.9,0.87,0.02,2.16,2.395,2.4362500000000002,2.425625,2.4804166666666667
2023-01-06,2.33,2.32,2.37,2.31,385688,90454043.0,2.58,-0.43,-0.01,1.5,2.345,2.4175,2.4074999999999998,2.4699999999999998
2023-01-13,2.32,2.32,2.34,2.27,457080,105072600.0,3.02,0.0,0.0,1.78,2.3200000000000003,2.3975,2.398125,2.4570833333333333
2023-01-20,2.32,2.43,2.43,2.3,638527,150439961.0,5.6,4.74,0.11,2.48,2.35,2.39125,2.395625,2.4499999999999997
2023-02-03,2.44,2.47,2.48,2.42,822956,201724901.0,2.47,1.65,0.04,3.2,2.385,2.39,2.4075,2.4466666666666668
2023-02-10,2.46,2.51,2.55,2.43,881278,218601378.0,4.86,1.62,0.04,3.42,2.4325,2.38875,2.415,2.4425000000000003
2023-02-17,2.52,2.91,3.01,2.47,3920478,1105430911.0,21.51,15.94,0.4,15.24,2.58,2.4499999999999997,2.4481249999999997,2.45625
2023-02-24,2.81,2.75,2.88,2.67,4124721,1138145983.0,7.22,-5.5,-0.16,16.03,2.66,2.505,2.475625,2.4633333333333334
2023-03-03,2.71,2.72,2.8,2.63,1950296,528636604.0,6.18,-1.09,-0.03,7.58,2.7225,2.5537500000000004,2.495,2.4683333333333333
2023-03-10,2.72,2.78,2.84,2.65,1660069,454304286.0,6.99,2.21,0.06,6.45,2.79,2.61125,2.514375,2.4754166666666664
2023-03-17,2.77,2.71,2.77,2.62,1685927,454476677.0,5.4,-2.52,-0.07,6.55,2.74,2.66,2.52875,2.4854166666666666
2023-03-24,2.74,2.75,2.81,2.65,1528122,414783741.0,5.9,1.48,0.04,5.94,2.74,2.7,2.545625,2.4970833333333333
2023-03-31,2.75,2.73,2.9,2.69,2203083,614666916.0,7.64,-0.73,-0.02,8.56,2.7424999999999997,2.7325,2.5612500000000002,2.5158333333333336
2023-04-07,2.75,2.76,2.87,2.74,1404786,392012653.0,4.76,1.1,0.03,5.46,2.7375,2.76375,2.57625,2.53125
2023-04-14,2.79,2.69,2.79,2.65,1020892,276009698.0,5.07,-2.54,-0.07,3.97,2.7325,2.73625,2.5931249999999997,2.5441666666666665
2023-04-21,2.7,2.52,2.7,2.52,984065,257158688.0,6.69,-6.32,-0.17,3.82,2.675,2.7075,2.60625,2.552916666666667
2023-04-28,2.51,2.58,2.63,2.43,1060906,269048219.0,7.94,2.38,0.06,4.12,2.6375,2.69,2.621875,2.56
2023-05-05,2.54,2.56,2.6,2.52,316544,81087411.0,3.1,-0.78,-0.02,1.23,2.5875000000000004,2.6625,2.6368750000000003,2.56375
2023-05-12,2.53,2.62,2.67,2.53,986465,257132148.0,5.47,2.34,0.06,3.83,2.5700000000000003,2.65125,2.655625,2.5695833333333336
2023-05-19,2.63,2.54,2.63,2.52,638189,163429985.0,4.2,-3.05,-0.08,2.48,2.575,2.625,2.6625,2.572083333333333
2023-05-26,2.54,2.43,2.56,2.4,721177,178087228.0,6.3,-4.33,-0.11,2.8,2.5375,2.5875,2.6599999999999997,2.57
2023-06-02,2.44,2.47,2.51,2.42,660830,163247880.0,3.7,1.65,0.04,2.57,2.515,2.5512500000000005,2.6574999999999998,2.5679166666666666
2023-06-09,2.48,2.43,2.62,2.42,958581,239327912.0,8.1,-1.62,-0.04,3.73,2.4675000000000002,2.5187500000000003,2.6275000000000004,2.5683333333333334
2023-06-16,2.42,2.43,2.45,2.4,559687,135677661.0,2.06,0.0,0.0,2.18,2.4400000000000004,2.5075000000000003,2.6075000000000004,2.5733333333333337
2023-06-21,2.43,2.37,2.48,2.37,425314,103563362.0,4.53,-2.47,-0.06,1.65,2.4250000000000003,2.48125,2.585625,2.575
2023-06-30,2.36,2.37,2.39,2.29,669302,156845828.0,4.22,0.0,0.0,2.6,2.4000000000000004,2.4575,2.56,2.5770833333333334
2023-07-07,2.38,2.44,2.45,2.37,641907,155655616.0,3.38,2.95,0.07,2.49,2.4025000000000003,2.435,2.5431250000000003,2.5820833333333337
